experiment,model,parameter_name,parameter_value,train_accuracy,val_accuracy,test_accuracy,train_val_gap,train_test_gap,leaf_count,leaf_count_mean,learning_rate,n_estimators,node_count,observed_depth,observed_depth_mean,train_loss,val_loss
bp_epoch_curve,BP Neural Network,epoch,21,0.9238889475350998,0.9265033407572383,0.9221775666788454,-0.0026143932221385224,0.0017113808562543298,,,0.010837499999999998,,,,,0.20640604286340847,0.20757286089029925
bp_epoch_curve,BP Neural Network,epoch,22,0.9253668320489813,0.9272457312546399,0.9240043843624406,-0.0018788992056586462,0.001362447686540702,,,0.010837499999999998,,,,,0.200955858123238,0.20338676573052206
bp_epoch_curve,BP Neural Network,epoch,23,0.9209331785073367,0.9146250927988122,0.9188892948483741,0.00630808570852448,0.0020438836589625753,,,0.010837499999999998,,,,,0.21101399160608847,0.21196239297842961
bp_epoch_curve,BP Neural Network,epoch,24,0.9156550195291883,0.9175946547884187,0.9159663865546218,-0.0019396352592304655,-0.000311367025433551,,,0.010837499999999998,,,,,0.21803073374576884,0.22033603129938983
bp_epoch_curve,BP Neural Network,epoch,25,0.9213554312255885,0.9220489977728286,0.9210814760686884,-0.0006935665472400654,0.0002739551569000964,,,0.010837499999999998,,,,,0.23598311557036447,0.2106884227476083
bp_epoch_curve,BP Neural Network,epoch,26,0.9213554312255885,0.9175946547884187,0.9236390208257216,0.003760776437169766,-0.0022835896001330847,,,0.010837499999999998,,,,,0.2256644167263212,0.21166988571026787
bp_epoch_curve,BP Neural Network,epoch,27,0.926316900665048,0.9287305122494433,0.9261965655827549,-0.0024136115843952366,0.00012033508229314371,,,0.010837499999999998,,,,,0.20545760860619838,0.2042919655239944
bp_epoch_curve,BP Neural Network,epoch,28,0.9265280270241739,0.9257609502598366,0.92802338326635,0.0007670767643372933,-0.0014953562421761157,,,0.010837499999999998,,,,,0.19950783266202557,0.20781268888155646
bp_epoch_curve,BP Neural Network,epoch,29,0.9314894964636334,0.9265033407572383,0.92802338326635,0.004986155706395157,0.0034661131972834047,,,0.010837499999999998,,,,,0.20763630347669831,0.21355870245544728
bp_epoch_curve,BP Neural Network,epoch,30,0.9268447165628628,0.9257609502598366,0.928754110339788,0.0010837663030262012,-0.0019093937769252278,,,0.009211874999999998,,,,,0.2037130458200438,0.20584280393507584
